file_name,wheels_visible,human_visible
1,1,0
2,1,0
3,1,1
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,1
18,1,0
19,1,0
20,0,0
21,1,0
22,1,0
23,0,0
24,0,0
25,0,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,0,0
32,1,0
33,1,1
34,0,1
35,1,0
36,0,0
37,1,1
38,1,0
39,1,0
40,0,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,1
47,1,0
48,0,0
49,1,0
50,1,0
51,1,0
52,0,1
53,1,0
54,0,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,1
62,1,0
63,1,0
64,0,0
65,1,0
66,1,0
67,1,0
68,1,0
69,1,0
70,1,0
71,1,1
72,0,0
73,1,1
74,1,0
75,1,0
76,1,0
77,1,0
78,1,1
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,0,1
88,1,0
89,0,0
90,1,0
91,1,0
92,1,0
93,1,1
94,1,0
95,1,0
96,1,0
97,1,1
98,1,0
99,1,0
100,1,0
101,1,0
102,0,0
103,1,0
104,1,0
105,1,1
106,1,0
107,1,1
108,1,0
109,1,0
110,1,1
111,0,1
112,0,1
113,0,1
114,0,1
115,0,1
116,0,1
117,0,1
118,0,1
119,0,1
120,0,1
121,0,1
122,0,1
123,0,1
124,0,0
125,0,1
126,0,0
127,0,1
128,0,0
129,0,0
130,0,0
131,0,0
132,0,1
133,0,1
134,0,1
135,0,1
136,0,1
137,0,1
138,0,0
139,0,1
140,0,1
141,0,1
142,0,1
143,0,1
144,0,1
145,0,1
146,0,1
147,0,1
148,0,1
149,0,1
150,0,1
151,0,1
152,0,1
153,0,1
154,0,1
155,0,1
156,0,1
157,0,0
158,0,1
159,0,1
160,0,1
161,1,1
162,0,1
163,0,0
164,1,1
165,0,1
166,0,1
167,0,1
168,0,1
169,1,1
170,0,1
171,0,1
172,0,1
173,0,1
174,0,1
175,1,1
176,0,1
177,0,1
178,0,1
179,0,1
180,0,1
